LUID	Date	Hour	Instances
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-27	7	118
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-27	8	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-27	9	114
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-27	10	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-27	11	117
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-27	12	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-27	13	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-27	14	119
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-27	15	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-27	16	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-27	17	89
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-27	19	76
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-27	20	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-27	21	119
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-27	22	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-27	23	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-11-28	0	119
