LineNo,LUID,Date,Latitude,Longitude,Floor,BuildingID,Time
151,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99171075631679,-76.94268345945802,4,96,17:48:16
152,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99171075631679,-76.94268345945802,4,96,17:48:30
153,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.991686981116,-76.94269200750173,4,96,17:49:01
154,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.991686981116,-76.94269200750173,4,96,17:49:17
155,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99171075631679,-76.94268345945802,4,96,17:49:32
156,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99171076467432,-76.94267196851236,4,96,17:49:49
157,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99171076467432,-76.94267196851236,4,96,17:50:05
158,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99171075631679,-76.94268345945802,4,96,17:50:35
159,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99171075631679,-76.94268345945802,4,96,17:50:49
160,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99171075631679,-76.94268345945802,4,96,17:51:39
161,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99171075631679,-76.94268345945802,4,96,17:51:52
162,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99171075631679,-76.94268345945802,4,96,17:52:12
163,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.991686981116,-76.94269200750173,4,96,17:52:25
164,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.991686981116,-76.94269200750173,4,96,17:52:42
165,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99171075631679,-76.94268345945802,4,96,17:53:13
166,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99166703030966,-76.9426963306988,3,96,17:53:17
167,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99166703030966,-76.9426963306988,3,96,17:54:16
168,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99166703030966,-76.9426963306988,3,96,17:54:24
169,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99166703030966,-76.9426963306988,3,96,17:54:46
170,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99166691895546,-76.9426960755064,3,96,17:54:55
171,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99166691895546,-76.9426960755064,3,96,17:55:18
172,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99170700503184,-76.94276404843774,3,96,17:55:48
173,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99170700503184,-76.94276404843774,3,96,17:55:55
174,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99166691895546,-76.9426960755064,3,96,17:56:18
175,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99166691895546,-76.9426960755064,3,96,17:56:28
176,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99166691895546,-76.9426960755064,3,96,17:56:48
177,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99166691895546,-76.9426960755064,3,96,17:57:18
178,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99166691895546,-76.9426960755064,3,96,17:57:27
179,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99166691895546,-76.9426960755064,3,96,17:57:48
180,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99176697767275,-76.94263987110705,3,96,17:58:19
181,1693c816aabec8cf188172bf3b81a9ea16ea8d8558d9db39243a95aa176273e3,2018-02-09,38.99176697767275,-76.94263987110705,3,96,17:58:24
